container_stock_level_id,container_asset_number,container_item_name,content_count
76,5368906,Gantry FX Mic Kit,4
278,5368852,4+2 Radio Mic/IEM Stagebox (4U),7
279,5368801,Radio Mic Antenna Kit A,3
280,5368800,Radio Mic & IEM Kit A,8
651,5368859,Lightshow Case,4
653,5368946,V-lok Kit 2,10
665,5368947,V-lok Kit 3,8
675,T16 LDM,Scanner,31
677,5368908,Litepanel Kit,5
682,5368975,V-lok Kit 1,5
770,5368863,5u Flight Case (Br.IO),1
771,5368819,Radio Mic & IEM Kit B,7
773,5368802,ATEM 1 M/E Broadcast Panel Flight Case,1
774,5368835,Audio Rack (12u),19
779,5368813,QL1 Flight Case,1
783,5368916,CCU Rack (12u),9
803,5368990,Commentary Case,1
806,5368965,Nanuk 905 Box,1
808,5368892,Commentary Camera Kit,4
814,5368882,Pitch Mic Peli Case,1
817,5368877,1200 Case (Yellow),1
822,5368961,4u Stagebox,1
823,5368981,Audio Stagebox (3u),3
827,5368985,Dante RTB Stagebox (2u),2
843,5368994,Monitor Flight Case,2
846,5368953,8u Stagebox,4
851,T16 TSV,Tender,22
876,5368950,Peli 1600 Blackmagic RCP Case,1
877,5368913,Black Plastic Case - SMPTE Backends,3
883,5368860,CCU Flight Case,1
909,5368996,Soft Mixer Case,1
945,5368896,WDM Media Converter Pair A,2
950,5368871,WDM Media Converter Pair B,2
1000,5368963,Nanuk 905 Box,2
1055,5368921,Studio Flight Case (16U),14
1133,5368830,Flat Screen Storage Bag,1
1144,5368840,Flat Screen Storage Bag,1
1153,5368890,3I-1209-4B-E,1
1154,5368966,3I-1209-4B-E,1
1155,5368849,Flat Screen Storage Bag,1
1157,5368895,Flat Screen Storage Bag,1
1164,5368988,Pres Monitor Kit Bag,2
1171,5368822,Radio Mic Antenna Kit C,2
1173,5368891,3I-1209-4B-E,1
1174,5368903,Radio Mic Antenna Kit B,2
1178,5368864,1200 Case (Yellow),1
1207,5368967,Mini Camera Kit,2
1216,5368948,Briefcase,2
1253,5368922,TF1 Flight Case,1
1256,5368893,Single Large LCD Case,1
1279,5368850,2U Studio Flyer,2
1362,5368959,SSD & Timecode 1200 Case,6
1382,5368901,VZ-MC100,1
1403,5368905,Calrec Flightcase,1
1478,5368925,T16 Rack,9
1503,5368983,Single Medium LCD Case,1
1896,5368931,Rack Sleeve,15
1938,5369050,Rugby Rack,27
1948,NEW V16 LDM,V16 LDM,7
1955,5368932,Core Rack,68
1957,5368927,Euro case Blue - Cabin,15
1961,5368926,"43"" Screen Flightcase",4
1977,5368930,Euro Case Black - Comms,28
1979,5368928,Euro case green - Mix Zone,9
1986,LDM9999,Green Camera Bag,5
1990,5368929,Euro Case Red - Misc,7
